timestamp,two_percenter,major,experience_coding,statistics_knowldege,age,number_of_yells,football_games,basketball_games,volleyball_games,baseball_games,aggie_ring,hours_studying,times_at_bigevent,study_abroad,bedtime,hours_sleeping,homebody_or_goingout,extrovert_introvert,siblings,plan_on_masters,location,video_games,sports,working_out,reading,cooking,dancing,singing,shows_movies_anime,outdoors,photography
11/11/2023 9:43:10,Yes,comp,4,5,20,0,0,0,0,0,Yes,2,0,No,11:00 PM,8,Homebody,Introverted,2,No,"DALLAS, TX",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
11/11/2023 10:04:38,No,meen,4,7,21,3,6,1,0,2,Yes,2,0,No,11:00 PM,8,Homebody,Introverted,2,Yes,"WASHINGTON, DC",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
11/11/2023 10:37:39,Yes,urpn,0,2,19,3,4,0,0,0,Maybe,4,1,No,12:00 AM,8,Homebody,Extroverted,5,Maybe,"ROCKWALL, TX",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
11/11/2023 10:39:25,Yes,daen,4,7,20,2,4,2,0,0,Maybe,3,1,No,After 12:00am,6,Homebody,Introverted,2,No,"DALLAS, TX",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
11/11/2023 10:54:32,Yes,cpcs,4,6,20,0,2,0,0,0,Yes,4,0,No,After 12:00am,6,Homebody,Introverted,1,Yes,"ALLEN, TX",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
11/11/2023 11:36:00,No,stat,0,1,18,2,0,1,0,0,Maybe,2,1,No,12:00 AM,8,Homebody,Introverted,0,Yes,"PEARLAND, TX",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
11/11/2023 11:37:11,Yes,biol,0,5,18,3,3,0,0,0,Yes,5,0,No,11:00 PM,8,Homebody,Extroverted,1,No,"ALLEN, TX",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
11/11/2023 11:40:46,Yes,stat,1,7,20,4,3,2,0,1,Yes,4,0,No,After 12:00am,6,Homebody,Introverted,2,Yes,"AUSTIN, TX",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
11/11/2023 12:26:57,Yes,laup,2,7,20,2,0,0,0,0,Yes,4,1,No,11:00 PM,8,Going out,Extroverted,1,Yes,"COLLEYVILLE, TX",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
11/11/2023 12:44:07,No,busn,0,3,18,0,0,0,0,0,Yes,2,0,No,11:00 PM,7,Homebody,Introverted,1,Maybe,"ALLEN, TX",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
11/11/2023 12:46:58,Yes,stat,0,3,19,0,0,0,0,0,Yes,4,0,No,11:00 PM,8,Homebody,Extroverted,1,Yes,"DALLAS, TX",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
11/11/2023 12:47:09,No,ehgr,4,4,19,1,0,0,0,0,Yes,2,0,No,After 12:00am,6,Homebody,Extroverted,1,Yes,"DALLAS, TX",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
11/11/2023 12:52:58,Yes,cecn,4,8,21,2,2,4,0,0,Yes,3,0,No,After 12:00am,6,Homebody,Introverted,1,No,"HOUSTON, TX",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
11/11/2023 14:46:02,Yes,cpsc,4,8,19,0,0,0,0,0,Yes,3,1,No,After 12:00am,6,Homebody,Introverted,3,No,"KATY, TX",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
11/11/2023 16:45:58,No,chen,4,4,19,1,1,0,0,0,Yes,6,1,No,After 12:00am,5,Homebody,Extroverted,1,Yes,"AUSTIN, TX",FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
11/11/2023 16:46:08,No,mbio,1,1,18,13,2,0,0,0,Yes,3,0,No,After 12:00am,5,Going out,Extroverted,4,Yes,"MURPHY, TX",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
11/11/2023 16:53:06,No,finc,0,6,18,4,3,1,0,0,Yes,2,0,No,After 12:00am,7,Homebody,Introverted,1,Maybe,"ALLEN, TX",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
11/11/2023 16:55:24,No,fivs,0,8,19,0,2,0,0,0,Yes,5,0,Yes,After 12:00am,8,Going out,Introverted,1,Yes,"ALLEN, TX",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
11/11/2023 16:58:07,No,nrsc,1,7,19,1,1,1,0,0,Yes,5,0,No,10:00 PM,8,Homebody,Extroverted,0,Yes,"AUSTIN, TX",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
11/11/2023 17:01:20,Yes,apmt,8,5,19,0,1,0,0,0,Maybe,3,0,No,11:00 PM,7,Homebody,Extroverted,0,Maybe,"ALLEN, TX",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
11/11/2023 17:12:37,Yes,engr,5,3,19,4,1,0,0,0,Yes,2,0,No,After 12:00am,6,Going out,Extroverted,1,No,"AUSTIN, TX",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
11/11/2023 17:20:56,Yes,isen,9,5,20,0,1,1,0,0,Yes,5,1,No,After 12:00am,3,Homebody,Extroverted,1,Yes,"DALLAS, TX",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
11/11/2023 17:47:31,Yes,isen,2,4,18,0,1,0,0,0,Maybe,20,0,No,After 12:00am,8,Homebody,Introverted,1,Yes,"DALLAS, TX",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
11/11/2023 18:26:05,No,chen,4,4,20,2,1,0,0,0,Yes,7,1,No,After 12:00am,6,Going out,Extroverted,1,Maybe,"DALLAS, TX",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
11/11/2023 18:45:10,Yes,nrsc,0,3,19,0,0,0,0,0,Yes,3,1,No,After 12:00am,6,Going out,Introverted,2,Yes,"MISSOURI CITY, TX",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
11/11/2023 18:48:38,No,wgst,0,1,26,3,4,3,2,3,Yes,4,3,No,10:00 PM,7,Going out,Extroverted,0,No,"SAN FRANCISCO, CA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
11/11/2023 19:52:34,Yes,bmen,4,6,19,2,3,1,0,0,Yes,8,1,No,11:00 PM,7,Homebody,Extroverted,0,No,"FRISCO, TX",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
11/12/2023 0:06:56,No,cpsc,5,6,19,6,10,4,2,1,Yes,3,1,No,11:00 PM,8,Going out,Extroverted,0,Yes,"CEDAR PARK, TX",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
